Address,DonorName,Date,Time,Amount,Type,VolonteerID
29sixteen miledrnulloakvilleon,Deep patel,1-Jul-23,2:45 PM,21,Credit Card,334
65 CHANCERY LANE E OAKVILLE Ont,Amelia Johnson,3-Jul-23,3:45 PM,22,Credit Card,222
2349 CARRINGTON PL OAKVILLE ON,Benjamin Smith,5-Jul-23,4:45 PM,23,Credit Card,224
2295 BENNINGTON GATE OAKVILLE ON,Chloe Williams,7-Jul-23,5:45 PM,24,Credit Card,115
2019 L RD E OAKVILLE ON,Daniel Brown,9-Jul-23,6:45 PM,25,Credit Card,443
1300 MARLBOROUGH CRT OAKVILLE ON,Emily Davis,11-Jul-23,7:45 PM,26,Credit Card,221
109 E OAKVILLE ON,Finn Anderson,13-Jul-23,2:15 PM,27,Check,445
2104 WYECROFT RD OAKVILLE ON,Grace Martinez,15-Jul-23,2:15 PM,28,Check,113
1170 JAMESWAY BLVD OAKVILLE ON,Henry Taylor,17-Jul-23,2:45 PM,29,Credit Card,300
1535 FORESTDALE CRT OAKVILLE ON,Isabella Jackson,19-Jul-23,3:15 PM,30,Check,110
1152 KLARECROFT WAY OAKVILLE ON,Jack Thompson,21-Jul-23,3:45 PM,31,Cash,334
1300 MARLBOROUGH CRT OAKVILLE ON,Liam Harris,23-Jul-23,4:15 PM,32,Cash,115
1338 ODESSA CRES OAKVILLE ON,Madison White,25-Jul-23,4:45 PM,33,Check,442
1320 ORD AVE OAKVILLE ON,Noah Rodriguez,27-Jul-23,5:15 PM,34,Credit Card,444
209 RYERSON RD OAKVILLE ON,Olivia Martinez,29-Jul-23,5:45 PM,35,Credit Card,400
111 SEWELL DR OAKVILLE ON,Penelope Garcia,31-Jul-23,6:15 PM,36,Check,223
1230 HO HEIGHTS DR OAKVILLE ON,Quinn Lee,2-Aug-23,6:45 PM,37,Cash,111
1361 GOLDEN MEADOW TRAIL OAKVILLE ON,Riley Wilson,4-Aug-23,7:15 PM,38,Credit Card,332
153 MARTINDALE AVE OAKVILLE ON,Sophia Miller,6-Aug-23,7:45 PM,39,Cash,115
